Pays,Date,Premiers cas,latitude,longitude,nbr ligne
afghanistan,2020-02-24,5.0,33.93911,67.709953,1
andorra,2020-03-02,1.0,42.546245,1.601554,1
united arab emirates,2020-01-29,4.0,23.424076,53.847818,1
albania,2020-02-25,2.0,41.153332,20.168331,1
algeria,2020-02-25,1.0,28.033886,1.659626,1
antigua and barbuda,2020-03-13,1.0,17.060816,-61.796428,1
anguilla,2020-03-28,2.0,18.220554,-63.068615,1
angola,2020-03-20,1.0,-11.202692,17.873887,1
armenia,2020-02-03,1.0,40.069099,45.038189,1
argentina,2020-01-01,1.0,-38.416097,-63.616672,1
aruba,2020-03-13,2.0,12.52111,-69.968338,1
australia,2020-01-26,4.0,-25.274398,133.775136,1
austria,2020-02-25,1.0,47.516231,14.550072,1
azerbaijan,2020-03-01,3.0,40.143105,47.576927,1
bahamas,2020-03-16,1.0,25.03428,-77.39628,1
bahrain,2020-02-24,1.0,25.930414,50.637772,1
bosnia and herzegovina,2020-03-05,2.0,43.915886,17.679076,1
bangladesh,2020-03-08,3.0,23.684994,90.356331,1
barbados,2020-03-17,2.0,13.193887,-59.543198,1
belarus,2020-02-28,1.0,53.709807,27.953389,1
belgium,2020-02-04,1.0,50.503887,4.469936,1
burkina faso,2020-03-10,1.0,12.238333,-1.561593,1
belize,2020-03-23,1.0,17.189877,-88.49765,1
bulgaria,2020-03-08,4.0,42.733883,25.48583,1
benin,2020-03-16,1.0,9.30769,2.315834,1
bermuda,2020-03-19,2.0,32.321384,-64.75737,1
burundi,2020-03-31,2.0,-3.373056,29.918886,1
bhutan,2020-03-06,1.0,27.514162,90.433601,1
bolivia,2020-03-11,2.0,-16.290154,-63.588653,1
brunei,2020-03-09,1.0,4.535277,114.727669,1
botswana,2020-03-30,3.0,-22.328474,24.684866,1
brazil,2020-02-26,1.0,-14.235004,-51.92528,1
british virgin islands,2020-03-28,2.0,18.420695,-64.639968,1
cambodia,2020-01-27,1.0,12.565679,104.990963,1
canada,2020-01-23,2.0,56.130366,-106.346771,1
