iso_code,location,population,human_development_index,life_expectancy,hospital_beds_per_thousand,aged_65_older,median_age,population_density,continent,Nombre de cas,Nombre de morts,Nombre de cas par million,Nombre de morts par million,Nombre de vaccinés ( au moins une dose),Nombre de vaccinés ( toutes les doses),Index,Nombre de vaccinés ( toutes les doses) par million
PER,Peru,34049588.0,0.777,76.74,1.6,7.151,29.1,25.129,South America,4461129.0,218284.0,131018.59,6410.768,30206334.0,28426576.0,1,834858.1486507268
BGR,Bulgaria,6781955.0,0.816,75.05,7.454,20.801,44.7,65.18,Europe,1292525.0,38113.0,190582.951,5619.766,2104752.0,2074837.0,2,305934.9405886651
BIH,Bosnia and Herzegovina,3233530.0,0.78,77.4,3.5,16.569,42.5,68.496,Europe,401036.0,16229.0,124024.209,5018.973,943394.0,846080.0,3,261658.31150476416
HUN,Hungary,9967304.0,0.854,76.88,7.02,18.577,43.4,108.043,Europe,2185816.0,48495.0,219298.619,4865.408,6420813.0,6207249.0,4,622761.079625945
MKD,North Macedonia,2093606.0,0.774,75.8,4.28,13.26,39.1,82.6,Europe,345603.0,9614.0,165075.473,4592.077,854452.0,838048.0,5,400289.261685341
GEO,Georgia,3744385.0,0.812,73.77,2.6,14.864,38.7,65.032,Asia,1809359.0,16899.0,483219.274,4513.158,1654504.0,1276173.0,6,340823.1258270717
MNE,Montenegro,627082.0,0.829,76.88,3.861,14.762,39.1,46.28,Europe,284835.0,2791.0,454222.893,4450.774,292783.0,284869.0,7,454277.11208422505
HRV,Croatia,4030361.0,0.851,78.49,5.54,19.724,44.0,73.726,Europe,1264385.0,17638.0,313715.074,4376.283,2320679.0,2250567.0,8,558403.329131063
CZE,Czechia,10493990.0,0.9,79.38,6.63,19.027,43.3,137.176,Europe,4580954.0,42158.0,436531.195,4017.347,6976119.0,6891930.0,9,656750.197017531
SVK,Slovakia,5643455.0,0.86,77.54,5.82,15.07,41.2,113.128,Europe,2657650.0,20827.0,470926.055,3690.47,2595901.0,2577827.0,10,456781.70553322387
MDA,Moldova,3272993.0,0.75,71.9,5.8,10.864,37.6,123.655,Europe,596550.0,11933.0,182264.368,3645.898,1104450.0,1073914.0,11,328113.7478754156
SMR,San Marino,33690.0,,84.97,3.8,,,556.667,Europe,23176.0,121.0,687919.264,3591.57,26357.0,23633.0,12,701484.1199168894
LTU,Lithuania,2750058.0,0.882,75.93,6.56,19.002,43.5,45.135,Europe,1289255.0,9488.0,468810.112,3450.109,1956432.0,1879898.0,13,683584.8553012337
ROU,Romania,19659270.0,0.828,76.05,6.892,17.85,43.0,85.129,Europe,3312085.0,67408.0,168474.465,3428.815,8185732.0,8114769.0,14,412770.6166098741
GIB,Gibraltar,32677.0,,79.93,,,,3457.1,Europe,20275.0,110.0,620466.995,3366.282,42175.0,41465.0,15,1268935.3367812221
GRC,Greece,10384972.0,0.888,82.24,4.21,20.396,45.3,83.479,Europe,5548487.0,34779.0,534280.401,3348.974,7932489.0,7642958.0,16,735963.2746241395
LVA,Latvia,1850654.0,0.866,75.29,5.57,19.754,43.9,31.212,Europe,974309.0,6165.0,526467.4,3331.255,1346184.0,1305976.0,17,705683.504317933
SVN,Slovenia,2119843.0,0.917,81.32,4.5,19.062,44.5,102.619,Europe,1308470.0,7016.0,617248.542,3309.679,1265802.0,1222225.0,18,576563.924781222
USA,United States,338289856.0,0.926,78.86,2.77,15.413,38.3,35.608,North America,100845043.0,1093971.0,298102.474,3233.827,268363272.0,229135170.0,19,677333.8482842358
CHL,Chile,19603736.0,0.851,80.18,2.11,11.087,35.4,24.282,South America,5045602.0,63200.0,257379.614,3223.875,18082896.0,17695722.0,20,902670.8990572001
BRA,Brazil,215313504.0,0.765,75.88,2.2,8.552,33.5,25.04,South America,36362366.0,693981.0,168881.028,3223.119,188564151.0,174905276.0,21,812328.4083472999
GBR,United Kingdom,67508936.0,0.932,81.32,2.54,18.517,40.8,272.898,Europe,24135084.0,213249.0,357509.471,3158.826,53813491.0,50762968.0,22,751944.4240685411
ARM,Armenia,2780472.0,0.776,75.09,4.2,11.232,35.7,102.931,Asia,445976.0,8716.0,160395.789,3134.72,1129669.0,985807.0,23,354546.63812475005
ITA,Italy,59037472.0,0.892,83.51,3.18,23.021,47.9,205.859,Europe,25143705.0,184642.0,425893.998,3127.539,50865838.0,47975181.0,24,812622.5492853082
OWID_SAM,South America,436816679.0,,,,,,,,66894503.0,1341544.0,153140.908,3071.183,373747942.0,338211708.0,25,774264.6383701846
UKR,Ukraine,39701744.0,0.779,72.06,8.8,16.462,41.4,77.39,Europe,5666050.0,118739.0,142715.393,2990.775,15774300.0,15153577.0,26,381685.42419698235
POL,Poland,39857144.0,0.88,78.73,6.62,16.763,41.8,124.027,Europe,6369442.0,118546.0,159806.784,2974.272,22852024.0,22625110.0,27,567655.0733288868
PRY,Paraguay,6780745.0,0.728,74.25,1.3,6.378,26.5,17.144,South America,792215.0,19688.0,116833.032,2903.516,3975338.0,3530179.0,28,520618.162163597
ARG,Argentina,45510324.0,0.845,76.67,5.0,11.198,31.9,16.177,South America,9963697.0,130171.0,218932.676,2860.252,41406841.0,37915226.0,29,833112.6361570179
BEL,Belgium,11655923.0,0.931,81.63,5.64,18.571,41.8,375.564,Europe,4668248.0,33228.0,400504.362,2850.739,9264172.0,9166871.0,30,786456.0361285846
TTO,Trinidad and Tobago,1531043.0,0.796,73.51,3.0,10.014,36.2,266.886,North America,186279.0,4289.0,121668.039,2801.358,753588.0,716898.0,31,468241.58433172683
COL,Colombia,51874028.0,0.767,77.29,1.71,7.646,32.2,44.223,South America,6336660.0,141881.0,122154.771,2735.107,42909220.0,36879309.0,32,710939.7596808947
OWID_EUR,Europe,744807803.0,,,,,,,,245103142.0,2002247.0,329082.404,2688.273,521815826.0,498589464.0,33,669420.301441176
RUS,Russia,144713312.0,0.824,72.58,8.05,14.178,39.6,8.823,Europe,21502402.0,385927.0,148586.206,2666.838,87669148.0,78929790.0,34,545421.7646542428
OWID_EUN,European Union,450146793.0,,,,,,,,181838614.0,1192434.0,403954.036,2648.989,338058888.0,328154199.0,35,728993.7507118927
ABW,Aruba,106459.0,,76.29,,13.085,41.2,584.8,North America,44145.0,280.0,414666.679,2630.121,90152.0,83993.0,36,788970.4017509088
MEX,Mexico,127504120.0,0.779,75.05,1.38,6.857,29.3,66.444,North America,7252944.0,331197.0,56883.997,2597.54,99071001.0,82652919.0,37,648237.241275027
OWID_NAM,North America,600323657.0,,,,,,,,119319758.0,1553219.0,198759.047,2587.303,457627033.0,393046717.0,38,654724.6846212492
SRB,Serbia,6871547.0,0.806,76.0,5.609,17.366,41.2,80.291,Europe,2448268.0,17541.0,356290.658,2552.7,3354075.0,3278198.0,39,477068.4097773034
